in s,C1 in V,C2 in V,C3 in V,C4 in V
-4.4821824E-02,1.43359E-02,-8.98437E-03,-3.41797E-03,1.01953E-02
-4.4821136E-02,-1.49609E-02,8.86719E-02,-4.88281E-04,1.99609E-02
-4.4820448E-02,-1.49609E-02,-8.98437E-03,-4.88281E-04,2.97266E-02
-4.4819760E-02,-1.49609E-02,-3.01953E-01,-4.88281E-04,1.99609E-02
-4.4819072E-02,-5.19531E-03,-1.06641E-01,-4.88281E-04,1.99609E-02
-4.4818384E-02,-2.47266E-02,-1.06641E-01,-4.88281E-04,1.99609E-02
-4.4817696E-02,-3.44922E-02,-1.06641E-01,-1.46484E-03,2.97266E-02
-4.4817008E-02,-1.49609E-02,-3.01953E-01,-3.41797E-03,2.97266E-02
-4.4816320E-02,1.43359E-02,-2.04297E-01,4.88281E-04,1.99609E-02
-4.4815632E-02,-5.19531E-03,-8.98437E-03,-3.41797E-03,4.29687E-04
-4.4814944E-02,4.57031E-03,-8.98437E-03,-5.37109E-03,4.29687E-04
-4.4814256E-02,-1.49609E-02,-1.06641E-01,-3.41797E-03,4.29687E-04
-4.4813568E-02,-2.47266E-02,8.86719E-02,-1.46484E-03,1.01953E-02
-4.4812880E-02,-1.49609E-02,-2.04297E-01,-4.88281E-04,2.97266E-02
-4.4812192E-02,-1.49609E-02,-3.01953E-01,-4.88281E-04,2.97266E-02
-4.4811504E-02,-1.49609E-02,-3.01953E-01,-3.41797E-03,4.92578E-02
-4.4810816E-02,-3.44922E-02,-1.06641E-01,-3.41797E-03,2.97266E-02
-4.4810128E-02,-1.49609E-02,-1.06641E-01,-3.41797E-03,1.99609E-02
-4.4809440E-02,-2.47266E-02,-3.01953E-01,-1.46484E-03,1.99609E-02
-4.4808752E-02,-5.19531E-03,-3.01953E-01,-4.88281E-04,1.01953E-02
-4.4808064E-02,1.43359E-02,-4.97266E-01,-4.39453E-03,1.01953E-02
-4.4807376E-02,-5.19531E-03,8.86719E-02,-4.88281E-04,2.97266E-02
-4.4806688E-02,2.41016E-02,-8.98437E-03,-4.88281E-04,1.99609E-02
-4.4806000E-02,-1.49609E-02,-2.04297E-01,-1.46484E-03,1.99609E-02
-4.4805312E-02,-5.19531E-03,-8.98437E-03,-1.46484E-03,2.97266E-02
-4.4804624E-02,1.43359E-02,-1.06641E-01,-2.44141E-03,3.94922E-02
-4.4803936E-02,-2.47266E-02,-8.98437E-03,1.46484E-03,1.01953E-02
-4.4803248E-02,1.43359E-02,8.86719E-02,-1.46484E-03,2.97266E-02
-4.4802560E-02,-1.49609E-02,-1.06641E-01,-1.46484E-03,1.99609E-02
-4.4801872E-02,-5.19531E-03,-2.04297E-01,-2.44141E-03,1.99609E-02
-4.4801184E-02,-2.47266E-02,8.86719E-02,-3.41797E-03,1.99609E-02
-4.4800496E-02,-1.49609E-02,-2.04297E-01,-4.88281E-04,4.29687E-04
-4.4799808E-02,-5.19531E-03,-3.99609E-01,-4.88281E-04,4.29687E-04
-4.4799120E-02,-1.49609E-02,-3.99609E-01,-2.44141E-03,4.92578E-02
-4.4798432E-02,-1.49609E-02,-8.98437E-03,-3.41797E-03,1.99609E-02
-4.4797744E-02,-5.19531E-03,-3.99609E-01,1.46484E-03,-9.33594E-03
-4.4797056E-02,-2.47266E-02,-1.06641E-01,-1.46484E-03,4.29687E-04
-4.4796368E-02,-5.19531E-03,-1.06641E-01,-3.41797E-03,1.01953E-02
-4.4795680E-02,-2.47266E-02,-3.99609E-01,-2.44141E-03,2.97266E-02
-4.4794992E-02,-5.19531E-03,-1.06641E-01,-2.44141E-03,4.29687E-04
-4.4794304E-02,-3.44922E-02,-2.04297E-01,1.46484E-03,-1.91016E-02
-4.4793616E-02,4.57031E-03,-2.04297E-01,-2.44141E-03,2.97266E-02
-4.4792928E-02,-2.47266E-02,-3.01953E-01,-5.37109E-03,-9.33594E-03
-4.4792240E-02,-1.49609E-02,-8.98437E-03,-1.46484E-03,-9.33594E-03
-4.4791552E-02,-5.19531E-03,-1.06641E-01,-2.44141E-03,1.99609E-02
-4.4790864E-02,-5.19531E-03,-1.06641E-01,-2.44141E-03,1.99609E-02
-4.4790176E-02,1.43359E-02,-2.04297E-01,-3.41797E-03,4.92578E-02
-4.4789488E-02,-1.49609E-02,-1.06641E-01,-1.46484E-03,-9.33594E-03
-4.4788800E-02,-1.49609E-02,-3.01953E-01,4.88281E-04,1.99609E-02
-4.4788112E-02,-1.49609E-02,8.86719E-02,-4.88281E-04,1.99609E-02
-4.4787424E-02,-1.49609E-02,-8.98437E-03,-4.88281E-04,-9.33594E-03
-4.4786736E-02,-1.49609E-02,-8.98437E-03,4.88281E-04,4.92578E-02
-4.4786048E-02,1.43359E-02,-2.04297E-01,-3.41797E-03,1.99609E-02
-4.4785360E-02,-5.19531E-03,-2.04297E-01,-1.46484E-03,1.99609E-02
-4.4784672E-02,4.57031E-03,-3.99609E-01,-4.88281E-04,1.99609E-02
-4.4783984E-02,-3.44922E-02,-1.06641E-01,-4.88281E-04,4.29687E-04
-4.4783296E-02,-1.49609E-02,-2.04297E-01,-1.46484E-03,2.97266E-02
-4.4782608E-02,-2.47266E-02,1.86328E-01,-3.41797E-03,1.99609E-02
-4.4781920E-02,-1.49609E-02,-2.04297E-01,-2.44141E-03,4.29687E-04
